model_name,display_name,model_family,model_type,task,precision,compiled,compile_mode,gpu_name,gpu_mem_gb,batch_size,throughput_mean,pixels_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,params_M,macs_G,peak_memory_mb,tf32_enabled,input_channels,input_size,pytorch_version,cuda_version,timestamp
resnet18,ResNet-18,ResNet,cnn,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,4096,4436.49,222605331,923.252,923.240,927.785,928.227,11.18,3.63,28827.4,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:07:33
resnet18,ResNet-18,ResNet,cnn,classification,fp32,True,default,Tesla V100-SXM2-32GB,34.1,4096,3972.19,199308741,1031.169,1030.749,1034.571,1035.451,11.18,3.63,28337.5,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:08:34
resnet18,ResNet-18,ResNet,cnn,classification,fp16,False,none,Tesla V100-SXM2-32GB,34.1,4096,8155.91,409230853,502.213,502.040,505.444,506.674,11.18,3.63,16064.3,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:09:22
resnet18,ResNet-18,ResNet,cnn,classification,fp16,True,default,Tesla V100-SXM2-32GB,34.1,4096,14314.57,718247834,286.142,286.056,289.202,290.132,11.18,3.63,10150.0,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:10:03
resnet18,ResNet-18,ResNet,cnn,classification,amp,False,none,Tesla V100-SXM2-32GB,34.1,4096,8722.21,437645538,469.606,469.401,471.523,472.167,11.18,3.63,17318.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:10:49
resnet18,ResNet-18,ResNet,cnn,classification,amp,True,default,Tesla V100-SXM2-32GB,34.1,4096,14282.74,716650530,286.780,286.836,289.438,290.405,11.18,3.63,11404.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:11:30
resnet18,ResNet-18,ResNet,cnn,segmentation,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,270.46,13570598,1893.071,1892.035,1898.363,1898.779,41.86,59.18,23555.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:13:10
resnet18,ResNet-18,ResNet,cnn,segmentation,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,287.36,14418601,1781.734,1781.138,1787.827,1793.571,41.86,59.18,19293.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:14:53
resnet18,ResNet-18,ResNet,cnn,segmentation,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,844.79,42388333,606.066,606.099,610.048,611.085,41.86,59.18,11789.6,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:15:50
resnet18,ResNet-18,ResNet,cnn,segmentation,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,1037.40,52052526,493.542,493.532,496.279,497.468,41.86,59.18,8379.6,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:17:15
resnet18,ResNet-18,ResNet,cnn,segmentation,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,819.74,41131223,624.589,624.539,627.839,628.923,41.86,59.18,17851.1,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:18:11
resnet18,ResNet-18,ResNet,cnn,segmentation,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,1038.11,52088306,493.203,493.361,496.365,497.178,41.86,59.18,8610.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:19:21
resnet50,ResNet-50,ResNet,cnn,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,1243.56,62396919,1646.883,1646.098,1651.631,1652.800,23.53,8.17,22712.8,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:21:01
resnet50,ResNet-50,ResNet,cnn,classification,fp32,True,default,Tesla V100-SXM2-32GB,34.1,2048,1520.69,76302343,1346.754,1347.015,1348.692,1349.682,23.53,8.17,16958.3,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:22:08
resnet50,ResNet-50,ResNet,cnn,classification,fp16,False,none,Tesla V100-SXM2-32GB,34.1,4096,2475.47,124209186,1654.635,1654.569,1658.020,1660.546,23.53,8.17,22668.6,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:23:29
resnet50,ResNet-50,ResNet,cnn,classification,fp16,True,default,Tesla V100-SXM2-32GB,34.1,4096,5134.58,257632805,797.728,797.701,799.377,800.775,23.53,8.17,16092.0,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:24:49
resnet50,ResNet-50,ResNet,cnn,classification,amp,False,none,Tesla V100-SXM2-32GB,34.1,4096,2802.59,140622530,1461.508,1461.609,1465.357,1465.732,23.53,8.17,23946.3,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:26:04
resnet50,ResNet-50,ResNet,cnn,classification,amp,True,default,Tesla V100-SXM2-32GB,34.1,4096,5109.84,256391322,801.591,801.565,804.041,804.515,23.53,8.17,17369.3,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:27:23
resnet50,ResNet-50,ResNet,cnn,segmentation,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,223.17,11198022,2294.165,2294.801,2298.577,2300.271,62.04,66.27,25642.1,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:29:28
resnet50,ResNet-50,ResNet,cnn,segmentation,fp32,True,default,Tesla V100-SXM2-32GB,34.1,512,244.21,12253670,2096.524,2095.810,2103.384,2103.839,62.04,66.27,21075.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:31:18
resnet50,ResNet-50,ResNet,cnn,segmentation,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,680.98,34168957,751.855,752.200,755.150,757.663,62.04,66.27,12832.4,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:32:21
resnet50,ResNet-50,ResNet,cnn,segmentation,fp16,True,default,Tesla V100-SXM2-32GB,34.1,512,883.66,44338493,579.409,579.651,582.023,582.639,62.04,66.27,10060.0,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:33:34
resnet50,ResNet-50,ResNet,cnn,segmentation,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,661.35,33183711,774.178,774.018,778.032,779.262,62.04,66.27,19050.8,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:34:38
resnet50,ResNet-50,ResNet,cnn,segmentation,amp,True,default,Tesla V100-SXM2-32GB,34.1,512,880.01,44155233,581.814,581.650,584.701,585.868,62.04,66.27,10332.7,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:35:50
resnet101,ResNet-101,ResNet,cnn,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,757.96,38031264,2701.999,2700.640,2710.027,2711.770,42.52,15.60,22788.7,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:38:10
resnet101,ResNet-101,ResNet,cnn,classification,fp32,True,default,Tesla V100-SXM2-32GB,34.1,2048,913.37,45829474,2242.235,2240.362,2255.822,2263.778,42.52,15.60,17034.3,False,3,224,2.10.0+cu128,12.8,2026-04-18T07:39:43
